chapter_id,method,output,page_number
2,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v cramfs 
install /bin/true",,21
2,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v freevxfs 
install /bin/true 
# lsmod | grep freevxfs 
<No output>",,23
3,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v jffs2 
install /bin/true 
# lsmod | grep jffs2 
<No output>",,24
4,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v hfs 
install /bin/true 
# lsmod | grep hfs 
<No output>",,25
5,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v hfsplus 
install /bin/true 
# lsmod | grep hfsplus 
<No output>",,26
6,"Run the following commands and verify the output is as indicated: 
# modprobe -n -v udf 
install /bin/true 
# lsmod | grep udf 
<No output>",,27
7,"Run the following command and verify output shows /tmp is mounted: 
# mount | grep /tmp 
tmpfs on /tmp type tmpfs (rw,nosuid,nodev,noexec,relatime)",,28
8,"If a /tmp partition exists run the following command and verify that the nodev option is set 
on /tmp: 
# mount | grep /tmp 
tmpfs on /tmp type tmpfs (rw,nosuid,nodev,noexec,relatime)",,30
9,"If a /tmp partition exists run the following command and verify that the nosuid option is set 
on /tmp: 
# mount | grep /tmp 
tmpfs on /tmp type tmpfs (rw,nosuid,nodev,noexec,relatime)",,31
10,"Run the following command and verify output shows /var is mounted: 
# mount | grep /var 
/dev/xvdg1 on /var type ext4 (rw,relatime,data=ordered)",,32
11,"Run the following command and verify output shows /var/tmp is mounted: 
# mount | grep /var/tmp 
<device> on /var/tmp type ext4 (rw,nosuid,nodev,noexec,relatime)",,33
12,"If a /var/tmp partition exists run the following command and verify that the nodev option is 
set on /var/tmp. 
# mount | grep /var/tmp 
tmpfs on /var/tmp type tmpfs (rw,nosuid,nodev,noexec,relatime)",,35
13,"If a /var/tmp partition exists run the following command and verify that the nosuid option 
is set on /var/tmp. 
# mount | grep /var/tmp 
tmpfs on /var/tmp type tmpfs (rw,nosuid,nodev,noexec,relatime)",,36
14,"If a /var/tmp partition exists run the following command and verify that the noexec option 
is set on /var/tmp. 
# mount | grep /var/tmp 
tmpfs on /var/tmp type tmpfs (rw,nosuid,nodev,noexec,relatime)",,37
15,"Run the following command and verify output shows /var/log is mounted: 
# mount | grep /var/log 
/dev/xvdh1 on /var/log type ext4 (rw,relatime,data=ordered)",,38
16,"Run the following command and verify output shows /var/log/audit is mounted: 
# mount | grep /var/log/audit 
/dev/xvdi1 on /var/log/audit type ext4 (rw,relatime,data=ordered)",,40
