chapter_id,remediation,page_number
2,"Edit or create the file /etc/modprobe.d/CIS.conf and add the following line: 
install cramfs /bin/true 
 
Run the following command to unload the cramfs module: 
# rmmod cramfs 
 
CIS Controls: 
13 Data Protection 
Data Protection",22
2,"Edit or create the file /etc/modprobe.d/CIS.conf and add the following line: 
install freevxfs /bin/true 
 
Run the following command to unload the freevxfs module: 
# rmmod freevxfs 
 
CIS Controls: 
13 Data Protection 
Data Protection",23
3,"Edit or create the file /etc/modprobe.d/CIS.conf and add the following line: 
install jffs2 /bin/true 
 
Run the following command to unload the jffs2 module: 
# rmmod jffs2 
 
CIS Controls: 
13 Data Protection 
Data Protection",24
4,"Edit or create the file /etc/modprobe.d/CIS.conf and add the following line: 
install hfs /bin/true 
 
Run the following command to unload the hfs module: 
# rmmod hfs 
 
CIS Controls: 
13 Data Protection 
Data Protection",25
5,"Edit or create the file /etc/modprobe.d/CIS.conf and add the following line: 
install hfsplus /bin/true 
 
Run the following command to unload the hfsplus module: 
# rmmod hfsplus 
 
CIS Controls: 
13 Data Protection 
Data Protection",26
6,"Edit or create the file /etc/modprobe.d/CIS.conf and add the following line: 
install udf /bin/true 
 
Run the following command to unload the udf module: 
# rmmod udf 
 
CIS Controls: 
13 Data Protection 
Data Protection",27
7,"For new installations, during installation create a custom partition setup and specify a 
separate partition for /tmp. 
For systems that were previously installed, create a new partition and configure 
/etc/fstab as appropriate.",28
8,"Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the /tmp 
partition. See the fstab(5) manual page for more information. 
Run the following command to remount /tmp: 
# mount -o remount,nodev /tmp",30
9,"Edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the /tmp 
partition. See the fstab(5) manual page for more information. 
Run the following command to remount /tmp: 
# mount -o remount,nosuid /tmp",31
10,"For new installations, during installation create a custom partition setup and specify a 
separate partition for /var. 
For systems that were previously installed, create a new partition and configure 
/etc/fstab as appropriate.",32
11,"For new installations, during installation create a custom partition setup and specify a 
separate partition for /var/tmp . 
For systems that were previously installed, create a new partition and configure 
/etc/fstab as appropriate.",33
12,"Edit the /etc/fstab file and add nodev to the fourth field (mounting options) for the 
/var/tmp partition. See the fstab(5) manual page for more information. 
Run the following command to remount /var/tmp: 
# mount -o remount,nodev /var/tmp",35
13,"Edit the /etc/fstab file and add nosuid to the fourth field (mounting options) for the 
/var/tmp partition. See the fstab(5) manual page for more information. 
Run the following command to remount /var/tmp: 
# mount -o remount,nosuid /var/tmp",36
14,"Edit the /etc/fstab file and add noexec to the fourth field (mounting options) for the 
/var/tmp partition. See the fstab(5) manual page for more information. 
Run the following command to remount /var/tmp: 
# mount -o remount,noexec /var/tmp 
 
CIS Controls: 
2 Inventory of Authorized and Unauthorized Software 
Inventory of Authorized and Unauthorized Software",37
15,"For new installations, during installation create a custom partition setup and specify a 
separate partition for /var/log. 
For systems that were previously installed, create a new partition and configure 
/etc/fstab as appropriate.",38
16,"For new installations, during installation create a custom partition setup and specify a 
separate partition for /var/log/audit. 
For systems that were previously installed, create a new partition and configure 
/etc/fstab as appropriate.",40
17,"For new installations, during installation create a custom partition setup and specify a 
separate partition for /home. 
For systems that were previously installed, create a new partition and configure 
/etc/fstab as appropriate.",42
18,"Edit the /etc/fstabfile and add nodevto the fourth field (mounting options) for the /home 
partition. See the fstab(5)manual page for more information. 
# mount -o remount,nodev /home",43
19,"Edit the /etc/fstabfile and add nodevto the fourth field (mounting options) for the 
/run/shm partition. See the fstab(5)manual page for more information. 
Run the following command to remount /run/shm: 
# mount -o remount,nodev /run/shm",44
